X,Y,OBJECTID,rb,Gradska_cetvrt,Mjesni_odbor,lokacija,Vrsta_objekta,Izvor,Izradio
16.056403393,45.825966039,1,54,Donja Dubrava,"""30. svibnja 1990.""",Vinodolska ulica 23,košarkaško i nogometno igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.967506379,45.812507769,2,12,Donji grad,"""Andrija Medulić""",Dalmatinska ulica 12,"polivalentno igralište, košarkaško igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.956422672,45.7988212970001,3,147,Trešnjevka - sjever,"""Antun Mihanović""",Drenovačka ulica 4,vježbalište za odrasle i  dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.022416935,45.8134179400001,4,63,Peščenica - Žitnjak,"""Bruno Bušić""",Ulica Ante Jakšića 13 - 21,"sportsko igralište, boćalište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.0267028810001,45.814008567,5,64,Peščenica - Žitnjak,"""Bruno Bušić""",Ulica Ante Jakšića 49 - 57 (iza 39 - 47),sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.997518165,45.815744382,6,60,Maksimir,Dinko Šimunović,Ulica Armina Šrapca 12/1,polivalentno igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.929007466,45.799326363,7,149,Trešnjevka - sjever,"""Dr. Ante Starčević""",Ulica Dragutina Golika 44,"dječje igralište, boćalište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.050206406,45.826410815,8,53,Donja Dubrava,"""Ivan Mažuranić""",Javorinska ulica - Legradska ulica - Vukovarska ulica,"sportsko igralište,dječje igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.974628813,45.80466324,9,13,Donji grad,"""Kralj Petar Svačić""",Blok između podvožnjaka na Miramarskoj cesti i zgrade HZMO-a,street workout park,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.992645216,45.807526287,10,14,Donji grad,"""Kralj Zvonimir""",Ulica Ivana Lepušića 7,"polivalentno igralište, košarkaško igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9949965010001,45.8002010980001,11,174,Trnje,"""Marin Držić""",Između Ulice grada Vukovara 239 i Avenije Marina Držića 10,vježbalište i  dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9271053570001,45.808882516,12,94,Stenjevec,¨Matija Gubec¨,Zagrebačka cesta 80,sprave - ograda,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.962968835,45.810043384,13,15,Donji grad,"""Petar Zrinski""",Prilaz Gjure Deželića 43,"polivalentno igralište, košarkaško igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9332123080001,45.8258388990001,14,11,Črnomerec,"""Sveti Duh""",Črnomerečki potok,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.175732958,45.883466255,15,105,Sesvete,Belovar,"Varaždinska ulica 47, iza objekta MO i HT-a",travnato sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.130196955,45.927183251,16,118,Sesvete,Blaguša,"Mikutin dol, Blaguška ulica, odvojak kod k.br. 47",sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9191522620001,45.765335044,17,28,Novi Zagreb - zapad,Blato,Karlovačka cesta 50,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.043023132,45.8093020250001,18,62,Peščenica - Žitnjak,Borongaj Lugovi,Sovinjačka ulica - Cunjska ulica,"dječje igralište, sportsko igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.931720371,45.7531423610001,19,29,Novi Zagreb - zapad,Botinec,Ulica Đuke Begovića,vježbalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.936682063,45.757174848,20,30,Novi Zagreb - zapad,Botinec,Između Ulice Zoranićevih planina i Ulice Gupčeve lipe,vježbalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1751263680001,45.835554491,21,119,Sesvete,Budenec,Budenečka cesta 20A,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1136507470001,45.8253233180001,22,120,Sesvete,Centar,Bribirska ulica kod križanja s Modruškom ulicom,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1941054050001,45.830110532,23,121,Sesvete,Cerje,Ulica svetog Martina iza k.br.1/župnog dvora,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1900880800001,45.8299449990001,24,122,Sesvete,Cerje,"Podolnica, kod k.br. 13, Cerje",dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.195270141,45.8273627670001,25,123,Sesvete,Cerje,"Ulica Stanka Šatovića 32A, Cerje",sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9446240610001,45.8066961430001,26,148,Trešnjevka - sjever,Ciglenica,Park pravednika među narodima,"park za pse, vježbalište za odrasle","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9633739760001,45.79597312,27,169,Trnje,Cvjetnica,Šetališta Jurja Gagarina/Zeleni trg,košarkaško igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9578084790001,45.743867365,28,31,Novi Zagreb - zapad,Čehi,"Ulica Slavka Čora, preko puta k.br. 29A",dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.8869945660001,45.731027979,29,1,Brezovica,Demerje,Demerska ulica 33,polivalentno asfaltirano sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1085108570001,45.855745681,30,124,Sesvete,Dobrodol,Dobrodolska cesta 24,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.075255326,45.8327456370001,31,51,Gornja Dubrava,Dubec,Prominska ulica,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.997033007,45.7638789630001,32,18,Novi Zagreb - istok,Dugave,"Parkovna površina uz I. OŠ Dugave, Školski prilaz 7, desno uz savski rukavac",sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.998948577,45.764517966,33,19,Novi Zagreb - istok,Dugave,"Parkovna površina uz I. OŠ Dugave, Školski prilaz 7, desno uz savski rukavac",stolni tenis,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9969749310001,45.7653389720001,34,20,Novi Zagreb - istok,Dugave,"Centralni park, između I. OŠ Dugave i DV Tratinčica",vježbalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.99150853,45.761461185,35,21,Novi Zagreb - istok,Dugave,Abramovićeva ulica,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.0181549380001,45.8015424340001,36,65,Peščenica - Žitnjak,Ferenščica,"Ivekovićeva ulica, zapadno od k.br. 23 i 25",sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.019799247,45.8013759080001,37,66,Peščenica - Žitnjak,Ferenščica,Ivanićgradska ulica 66,"dječje igralište, sportsko igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.004628122,45.7914644100001,38,67,Peščenica - Žitnjak,Folnegovićevo naselje,Južno od Ulice Milke Trnine 2 - 10,"dječje igralište, sportsko igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.138189923,45.883900112,39,125,Sesvete,Gajec,Soblinečka cesta,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
